name: ATI Radeon HD 5800 Series, vendor: 1002, model: 6899
name: ATI Radeon HD 5800 Series, vendor: 1002, model: 689E
name: ATI Radeon HD 5850X2, vendor: 1002, model: 6899
name: ATI Radeon HD 5900 Series, vendor: 1002, model: 689C
name: ATI Radeon HD 6230, vendor: 1002, model: 68E1
name: ATI Radeon HD 6230, vendor: 1002, model: 68F9
name: ATI Radeon HD 6250, vendor: 1002, model: 68E1
name: ATI Radeon HD 6250, vendor: 1002, model: 68F9
name: ATI Radeon HD 6290, vendor: 1002, model: 68F9
name: ATI Radeon HD 6350 Graphics, vendor: 1002, model: 68F9
